Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drib_Tkl,Drib_Att,Drib_Tkl%,Drib_Past,Press,Press_Succ,Press_%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,1.16,0.75,0.88,0.24,0.03,0.41,0.82,50.0,0.41,7.96,2.62,32.9,5.51,2.21,0.24,1.60,1.09,0.00,0.51,0.58,1.73,5.88,0.14,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,1.98,1.48,0.80,0.86,0.31,0.43,3.89,11.1,3.46,22.7,5.68,25.1,7.84,12.0,2.78,1.73,0.19,0.00,1.54,0.31,2.28,0.62,0.00,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,55.0,5.00,9.1,30.0,20.0,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,1.17,0.67,0.76,0.40,0.00,0.45,0.99,45.5,0.54,6.77,2.69,39.7,4.13,2.47,0.18,1.12,0.36,0.00,0.76,0.85,2.02,4.04,0.04,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,1.63,1.22,0.82,0.82,0.00,0.20,2.86,7.1,2.65,24.7,5.31,21.5,7.96,12.7,4.08,2.45,0.41,0.00,2.04,0.20,1.84,0.61,0.00,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,2.00,1.43,1.14,0.57,0.29,0.50,2.14,23.3,1.64,25.4,6.57,25.8,9.50,10.6,5.29,2.71,0.79,0.00,1.93,0.86,2.86,1.93,0.00,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,0.60,0.60,0.00,0.12,0.48,0.12,0.12,100.0,0.00,19.2,5.12,26.7,1.55,7.26,10.4,0.36,0.12,0.00,0.24,0.00,0.60,0.24,0.00,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,1.16,0.72,0.87,0.14,0.14,0.43,2.03,21.4,1.59,18.7,5.65,30.2,4.64,9.13,4.93,1.45,0.00,0.00,1.45,0.72,1.88,0.29,0.00,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,1.00,0.78,0.36,0.39,0.25,0.22,0.86,25.8,0.64,16.0,4.29,26.8,4.54,6.41,5.04,1.53,0.33,0.00,1.20,0.42,1.42,0.36,0.03,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,1.29,0.88,0.41,0.41,0.48,0.48,1.43,33.3,0.95,12.9,4.15,32.1,3.40,5.10,4.42,1.02,0.00,0.00,1.02,0.48,1.77,0.27,0.00,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,0.86,0.71,0.43,0.29,0.14,0.29,1.00,28.6,0.71,11.1,4.57,41.0,4.00,3.86,3.29,0.43,0.00,0.00,0.43,0.71,1.57,1.14,0.14,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,1.65,1.05,0.30,0.95,0.40,0.40,1.60,25.0,1.20,19.8,5.15,26.1,4.10,9.70,5.95,1.35,0.10,0.00,1.25,0.45,2.10,0.55,0.00,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.09,0.03,33.3,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1.24,0.67,0.57,0.46,0.21,0.52,1.86,27.8,1.34,19.8,5.62,28.4,8.20,8.97,2.63,2.06,0.36,0.00,1.70,1.13,2.37,2.47,0.00,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,3.61,1.67,2.20,0.97,0.44,1.50,3.26,45.9,1.76,18.3,5.07,27.6,10.0,5.86,2.42,2.86,0.57,0.00,2.29,1.32,4.93,3.83,0.04,Matches
182,?lkay Gündo?an\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,1.25,0.85,0.27,0.67,0.31,0.45,2.10,21.3,1.65,11.4,3.26,28.6,2.90,6.03,2.46,1.12,0.22,0.00,0.89,1.21,2.46,0.94,0.00,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.30,0.10,33.3,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
184,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,25,1994,25.2,0.83,0.67,0.40,0.36,0.08,0.12,1.11,10.7,0.99,22.7,5.00,22.1,1.75,12.0,8.89,1.35,0.28,0.00,1.07,0.24,1.07,0.95,0.04,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,1.93,1.21,1.14,0.79,0.00,0.79,1.36,57.9,0.57,10.2,3.57,35.0,6.93,3.07,0.21,2.43,1.43,0.00,1.00,1.21,3.14,7.36,0.07,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,1.57,1.28,1.34,0.12,0.12,0.64,1.34,47.8,0.70,10.6,4.24,40.1,6.51,3.43,0.64,2.67,1.28,0.06,1.40,0.64,2.21,6.63,0.29,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,2.55,1.50,1.42,0.81,0.32,0.49,1.82,26.7,1.34,19.3,5.10,26.5,8.66,8.18,2.43,1.54,0.32,0.00,1.21,1.17,3.72,1.38,0.04,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.15,0.00,0.0,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.03,0.00,0.0,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.08,0.00,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,2.61,1.45,0.92,1.20,0.48,0.92,2.53,36.5,1.61,21.4,6.79,31.8,5.42,11.5,4.46,1.49,0.20,0.00,1.29,0.48,3.09,1.08,0.00,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,0.84,0.47,0.33,0.33,0.19,0.09,1.40,6.7,1.30,16.6,3.21,19.4,3.86,8.14,4.56,1.63,0.33,0.00,1.30,0.65,1.49,0.88,0.00,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.0,0.83,21.7,5.00,23.1,0.00,5.83,15.8,0.00,0.00,0.00,0.00,0.83,0.83,0.00,0.00,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,2.40,1.75,1.10,0.65,0.65,0.84,2.08,40.6,1.23,15.9,5.39,33.9,6.23,5.65,4.03,1.36,0.13,0.06,1.23,0.91,3.31,0.65,0.00,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,1.20,0.76,0.55,0.55,0.11,0.40,2.40,16.7,2.00,19.8,4.84,24.4,4.73,9.05,6.00,1.02,0.00,0.00,1.02,0.47,1.67,0.69,0.00,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,0.00,0.0,0.00,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,0.92,0.46,0.77,0.15,0.00,0.31,0.46,66.7,0.15,7.23,2.15,29.8,4.92,1.54,0.77,2.92,0.92,0.00,2.00,0.46,1.38,6.92,0.31,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,2.19,1.05,1.75,0.44,0.00,0.53,2.19,24.0,1.67,15.7,5.18,33.0,8.33,5.53,1.84,2.02,0.26,0.00,1.75,0.44,2.63,3.51,0.00,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,2.19,1.23,1.49,0.66,0.04,0.92,1.62,56.8,0.70,10.6,3.38,31.8,6.40,3.64,0.57,1.40,0.70,0.04,0.70,1.23,3.42,6.36,0.04,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,2.50,0.00,2.50,0.00,0.00,0.00,0.00,,0.00,32.5,10.0,30.8,12.5,10.0,10.0,2.50,0.00,0.00,2.50,0.00,2.50,0.00,0.00,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,1.24,0.82,0.29,0.71,0.24,0.47,1.41,33.3,0.94,13.2,2.24,17.0,4.00,6.06,3.12,1.59,0.35,0.00,1.24,0.18,1.41,1.41,0.00,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,0.83,0.52,0.52,0.21,0.10,0.10,1.15,9.1,1.04,12.6,3.02,24.0,2.29,6.15,4.17,1.88,0.00,0.00,1.88,0.00,0.83,0.63,0.00,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,3.20,1.96,1.20,1.52,0.48,1.08,3.44,31.4,2.36,27.0,7.24,26.8,7.96,13.4,5.68,2.64,0.36,0.00,2.28,1.24,4.44,1.20,0.00,Matches
204,Pierre H?jbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,2.94,1.86,1.41,1.31,0.23,1.18,3.37,35.0,2.19,20.7,6.93,33.5,6.80,11.0,2.88,2.06,0.20,0.00,1.86,1.37,4.31,2.55,0.07,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,5.00,5.00,5.00,0.00,0.00,0.00,0.00,,0.00,18.3,5.00,27.3,8.33,8.33,1.67,0.00,0.00,0.00,0.00,1.67,6.67,0.00,0.00,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,1.60,1.60,0.80,0.40,0.40,0.40,1.20,33.3,0.80,14.4,3.60,25.0,3.60,5.60,5.20,2.40,0.00,0.00,2.40,0.00,1.60,0.40,0.00,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,1.82,1.82,0.00,1.82,0.00,0.91,1.82,50.0,0.91,20.9,4.55,21.7,3.64,5.45,11.8,1.82,0.91,0.00,0.91,0.00,1.82,0.00,0.00,Matches
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,0.56,0.47,0.00,0.37,0.19,0.28,0.93,30.0,0.65,18.0,5.23,29.0,1.96,8.32,7.76,0.84,0.09,0.00,0.75,0.09,0.65,0.47,0.00,Matches
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,31.2,1.63,1.03,0.54,0.77,0.32,0.48,2.21,21.7,1.73,27.5,7.28,26.4,4.74,11.7,11.1,2.05,0.16,0.00,1.89,0.22,1.86,0.77,0.00,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,1.53,0.79,0.62,0.79,0.11,0.56,1.86,30.3,1.30,20.8,5.42,26.0,5.59,10.2,5.03,1.13,0.17,0.00,0.96,0.56,2.09,0.73,0.06,Matches
211,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,2.22,1.48,1.48,0.74,0.00,0.37,2.22,16.7,1.85,9.63,3.33,34.6,7.04,2.59,0.00,3.33,1.85,0.00,1.48,0.74,2.96,10.0,0.00,Matches
212,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.5,2.00,0.86,0.57,0.57,0.86,0.86,1.71,50.0,0.86,14.6,5.71,39.2,4.29,4.57,5.71,1.43,0.00,0.00,1.43,0.00,2.00,1.14,0.00,Matches
213,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,0.98,0.59,0.24,0.47,0.28,0.24,1.77,13.3,1.54,22.4,5.63,25.1,4.92,10.3,7.17,1.46,0.16,0.00,1.30,0.16,1.14,0.39,0.00,Matches
214,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,20.0,100.0,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,16.8,2.50,1.37,1.19,1.01,0.30,0.83,1.85,45.2,1.01,16.1,4.35,26.9,7.38,6.73,2.02,2.74,0.48,0.00,2.26,0.83,3.33,2.32,0.00,Matches
216,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,2.39,0.90,1.04,0.75,0.60,0.90,2.54,35.3,1.64,20.4,4.63,22.6,8.21,7.91,4.33,2.09,0.30,0.00,1.79,1.04,3.43,3.73,0.00,Matches
217,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,22.6,1.11,0.84,0.18,0.40,0.53,0.22,1.11,20.0,0.88,18.5,5.62,30.3,1.11,6.86,10.6,1.37,0.18,0.00,1.19,0.53,1.64,0.31,0.00,Matches
218,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,36.0,0.81,0.64,0.19,0.42,0.19,0.06,0.72,7.7,0.67,16.3,3.92,24.0,0.92,8.14,7.28,0.89,0.11,0.00,0.78,0.44,1.25,0.86,0.00,Matches
219,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,1.01,0.64,0.17,0.57,0.27,0.37,1.17,31.4,0.81,20.0,4.53,22.7,2.45,10.5,7.05,1.11,0.23,0.03,0.87,0.37,1.38,0.94,0.00,Matches
220,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,3.0,2.67,1.33,1.67,0.67,0.33,1.33,2.00,66.7,0.67,12.0,2.00,16.7,6.33,3.33,2.33,2.67,1.00,0.00,1.67,1.33,4.00,5.33,0.00,Matches
221,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.4,2.14,1.43,0.00,0.71,1.43,1.43,2.14,66.7,0.71,19.3,5.00,25.9,3.57,5.71,10.0,2.14,0.00,0.00,2.14,2.14,4.29,0.71,0.00,Matches
222,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,2.67,1.33,1.33,1.33,0.00,1.33,1.33,100.0,0.00,12.0,6.00,50.0,8.00,3.33,0.67,0.67,0.00,0.00,0.67,1.33,4.00,12.7,0.67,Matches
223,Bruno Jord?o\Bruno-Jordao,pt POR,FW,Wolves,20,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26.4,2.61,1.67,0.83,1.40,0.38,1.02,3.22,31.8,2.20,21.0,6.14,29.2,7.20,11.2,2.58,1.55,0.19,0.04,1.36,1.59,4.20,1.29,0.00,Matches
225,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,0.81,0.54,0.27,0.27,0.27,0.54,2.43,22.2,1.89,32.2,4.59,14.3,11.9,13.8,6.49,0.81,0.00,0.00,0.81,0.54,1.35,1.62,0.00,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25.4,1.34,0.83,0.51,0.71,0.12,0.47,1.73,27.3,1.26,22.5,5.00,22.2,4.92,11.5,6.06,0.67,0.00,0.00,0.67,0.24,1.57,0.35,0.00,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,11.2,3.21,1.79,1.96,1.16,0.09,1.16,2.05,56.5,0.89,14.2,5.18,36.5,6.79,5.27,2.14,2.23,0.63,0.00,1.61,0.71,3.93,2.77,0.00,Matches
228,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,25.0,1.60,0.96,1.28,0.32,0.00,0.64,1.44,44.4,0.80,9.88,3.40,34.4,5.64,3.52,0.72,2.20,1.12,0.00,1.08,0.96,2.56,6.84,0.08,Matches
229,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,28.7,0.70,0.49,0.17,0.45,0.07,0.21,0.66,31.6,0.45,15.6,3.48,22.3,0.80,7.63,7.18,1.08,0.42,0.00,0.66,0.14,0.84,1.05,0.00,Matches
230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,3.02,2.24,1.56,1.09,0.36,0.63,1.72,36.4,1.09,22.8,7.34,32.2,7.97,9.95,4.90,2.24,0.16,0.00,2.08,1.46,4.48,1.82,0.00,Matches
231,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9.5,0.74,0.63,0.21,0.21,0.32,0.00,0.32,0.0,0.32,12.5,3.79,30.3,1.26,5.26,6.00,0.42,0.11,0.00,0.32,0.63,1.37,0.32,0.00,Matches
232,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,28.4,1.44,0.92,0.92,0.49,0.04,0.53,0.95,55.6,0.42,6.69,2.32,34.7,4.33,2.18,0.18,1.83,0.95,0.00,0.88,0.85,2.29,7.32,0.04,Matches
233,Naby Ke?ta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9.1,2.97,2.20,0.88,1.43,0.66,0.99,2.75,36.0,1.76,23.4,8.57,36.6,4.51,10.9,8.02,2.09,0.00,0.00,2.09,1.54,4.51,0.44,0.00,Matches
234,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,1.27,0.85,0.70,0.56,0.00,0.70,1.27,55.6,0.56,10.3,4.08,39.7,5.49,3.80,0.99,1.55,0.85,0.00,0.70,0.56,1.83,2.39,0.14,Matches
235,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,1.40,1.05,1.05,0.35,0.00,0.70,1.69,41.4,0.99,10.5,3.66,34.8,7.50,2.44,0.58,2.91,0.87,0.00,2.03,0.58,1.98,5.93,0.17,Matches
236,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,1.90,1.43,1.43,0.48,0.00,0.95,1.90,50.0,0.95,8.10,2.38,29.4,5.24,2.38,0.48,0.95,0.48,0.00,0.48,1.43,3.33,8.10,0.00,Matches
237,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,22.3,0.85,0.67,0.36,0.31,0.18,0.09,0.67,13.3,0.58,22.2,5.52,24.8,3.63,9.91,8.70,1.21,0.18,0.00,1.03,0.22,1.08,0.49,0.00,Matches
238,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,1.38,0.62,0.62,0.77,0.00,0.77,1.69,45.5,0.92,8.15,3.69,45.3,5.54,2.62,0.00,1.69,0.92,0.00,0.77,0.31,1.69,4.62,0.31,Matches
239,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.0,0.77,25.4,6.92,27.3,4.62,11.5,9.23,1.54,1.54,0.00,0.00,0.00,0.00,1.54,0.00,Matches
240,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.9,1.85,0.95,1.16,0.32,0.37,0.63,1.32,48.0,0.69,12.2,3.54,29.1,6.14,4.29,1.75,1.22,0.26,0.00,0.95,0.79,2.65,2.38,0.05,Matches
241,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1997,22.7,1.19,0.79,0.88,0.31,0.00,0.26,0.70,37.5,0.44,8.50,2.78,32.6,4.71,2.86,0.93,2.42,1.01,0.00,1.41,0.62,1.81,3.66,0.13,Matches
242,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,28.1,2.49,1.60,1.60,0.82,0.07,0.82,1.78,46.0,0.96,14.9,4.38,29.4,6.80,6.30,1.78,2.14,0.46,0.00,1.67,0.64,3.13,2.81,0.04,Matches
243,Mateo Kovaèiæ\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,23.0,3.48,2.39,1.35,1.83,0.30,1.30,3.39,38.5,2.09,23.2,7.52,32.5,6.70,12.1,4.35,1.22,0.09,0.00,1.13,0.52,4.00,0.74,0.00,Matches
244,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,1.77,1.06,1.42,0.18,0.18,0.53,1.86,28.6,1.33,11.9,3.54,29.9,7.52,3.19,1.15,1.77,0.80,0.00,0.97,0.53,2.30,3.54,0.00,Matches
245,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.19,0.03,14.3,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,Matches
246,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,1.11,0.91,0.29,0.58,0.24,0.19,0.82,23.5,0.63,22.3,5.48,24.6,2.64,10.6,9.09,0.63,0.00,0.00,0.63,0.48,1.59,0.67,0.00,Matches
247,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,4.76,2.86,2.14,2.14,0.48,2.14,6.43,33.3,4.29,31.4,9.76,31.1,10.7,13.1,7.62,3.10,0.00,0.00,3.10,1.43,6.19,0.71,0.00,Matches
248,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,2.00,1.56,0.59,1.11,0.30,0.37,1.63,22.7,1.26,23.3,6.52,27.9,6.07,11.2,6.07,1.41,0.22,0.00,1.19,0.67,2.67,0.59,0.00,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,5.00,0.00,2.50,2.50,0.00,5.00,5.00,100.0,0.00,7.50,7.50,100.0,2.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,1.38,0.46,1.23,0.15,0.00,0.00,1.38,0.0,1.38,14.0,2.62,18.7,6.00,4.92,3.08,2.00,0.15,0.00,1.85,1.38,2.77,2.31,0.15,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,2.27,0.91,1.36,0.45,0.45,0.00,1.82,0.0,1.82,27.7,8.18,29.5,10.9,8.18,8.64,2.73,0.00,0.00,2.73,0.00,2.27,0.45,0.00,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,0.72,0.59,0.39,0.20,0.13,0.33,2.42,13.5,2.09,22.5,4.97,22.1,5.03,12.9,4.51,0.78,0.07,0.00,0.72,0.59,1.31,0.26,0.00,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,0.98,0.66,0.66,0.33,0.00,0.57,1.07,53.8,0.49,5.08,2.13,41.9,2.62,2.21,0.25,0.49,0.41,0.00,0.08,1.15,2.13,3.20,0.16,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,0.78,0.43,0.61,0.17,0.00,0.22,0.61,35.7,0.39,7.01,2.55,36.4,4.72,2.03,0.26,1.60,1.00,0.00,0.61,0.95,1.73,7.19,0.04,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,2.08,0.38,1.70,0.38,0.00,1.13,2.64,42.9,1.51,18.5,4.15,22.4,8.68,7.55,2.26,1.13,0.00,0.00,1.13,0.19,2.26,0.75,0.00,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,2.37,1.18,1.32,0.79,0.26,0.66,2.63,25.0,1.97,21.1,4.34,20.6,11.2,6.45,3.42,2.37,0.66,0.00,1.71,0.66,3.03,0.79,0.00,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,1.63,1.22,1.22,0.41,0.00,1.02,1.84,55.6,0.82,11.8,3.88,32.8,7.96,3.67,0.20,2.65,0.41,0.00,2.24,1.22,2.86,5.51,0.20,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,2.73,1.64,1.27,0.73,0.73,1.64,2.55,64.3,0.91,26.0,4.91,18.9,6.73,12.2,7.09,1.45,0.36,0.00,1.09,1.45,4.18,1.09,0.00,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.03,0.00,0.0,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.03,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,2.70,1.63,0.93,1.57,0.20,1.00,2.10,47.6,1.10,19.2,5.77,30.0,6.90,10.7,1.60,1.67,0.40,0.00,1.27,1.13,3.83,2.30,0.00,Matches
261,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,25.6,2.19,1.21,1.76,0.23,0.20,0.70,1.72,40.9,1.02,14.5,4.38,30.3,9.06,3.79,1.60,2.15,0.47,0.00,1.68,0.78,2.97,2.66,0.04,Matches
262,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,34.4,0.87,0.47,0.61,0.23,0.03,0.35,0.49,70.6,0.15,6.42,1.86,29.0,3.40,2.85,0.17,1.45,0.61,0.00,0.84,0.73,1.60,4.94,0.00,Matches
263,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.4,1.25,0.87,0.48,0.19,0.58,0.38,1.44,26.7,1.06,32.3,7.69,23.8,5.96,16.6,9.71,0.87,0.10,0.00,0.77,0.58,1.83,0.10,0.00,Matches
264,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.05,0.00,0.0,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,Matches
