Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drib_Tkl,Drib_Att,Drib_Tkl%,Drib_Past,Press,Press_Succ,Press_%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,2.12,1.74,1.74,0.23,0.15,0.76,1.67,45.5,0.91,17.8,5.83,32.8,7.50,7.12,3.18,1.97,0.23,0.00,1.74,0.76,2.88,1.06,0.00,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,2.50,0.83,1.43,0.95,0.12,0.36,1.31,27.3,0.95,12.7,3.10,24.3,7.62,4.76,0.36,0.95,0.71,0.00,0.24,1.31,3.81,6.90,0.12,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,2.71,1.81,1.20,1.08,0.42,0.66,2.89,22.9,2.23,22.3,6.27,28.1,5.54,11.4,5.36,1.27,0.06,0.00,1.20,0.84,3.55,0.84,0.00,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,2.50,2.50,0.00,1.25,1.25,0.00,0.00,,0.00,8.75,1.25,14.3,1.25,3.75,3.75,1.25,1.25,0.00,0.00,0.00,2.50,1.25,0.00,Matches
20,Angeli?o\Angelino,es ESP,DF,Manchester City,22,1997,4.7,1.70,1.06,0.85,0.64,0.21,1.06,1.28,83.3,0.21,10.0,3.83,38.3,2.98,5.32,1.70,0.85,0.00,0.00,0.85,1.06,2.77,3.83,0.00,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,5.00,0.00,5.00,0.00,0.00,0.00,0.00,,0.00,10.0,5.00,50.0,0.00,10.0,0.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,0.71,0.51,0.26,0.20,0.26,0.10,0.71,14.3,0.61,17.2,3.98,23.1,1.58,7.70,7.91,1.33,0.26,0.00,1.07,0.41,1.12,0.46,0.00,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,2.57,1.31,1.41,0.73,0.42,0.68,2.41,28.3,1.73,21.4,6.75,31.6,6.02,9.79,5.55,1.26,0.26,0.00,0.99,0.47,3.04,1.15,0.05,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.09,0.03,33.3,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,1.45,1.08,0.48,0.72,0.24,0.48,1.81,26.7,1.33,29.3,5.66,19.3,11.9,12.5,4.82,3.37,0.12,0.00,3.25,0.84,2.29,0.72,0.00,Matches
