Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0.00,5.00,5.00,100.0,5.63,5.63,0.00,0.00,19.0,0.00,0.00,0.00,0.50,0.50,0.08,-0.50,-0.50,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,0.00,0.69,0.00,0.0,0.69,0.00,0.00,,19.5,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
120,Josip Drmiæ\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,0.14,1.81,0.69,38.5,1.81,0.70,0.08,0.20,13.2,0.00,0.00,0.00,0.36,0.36,0.23,-0.22,-0.22,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,0.00,1.25,0.38,30.0,1.24,0.37,0.00,0.00,20.4,0.25,0.00,0.00,0.09,0.09,0.07,-0.09,-0.09,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,0.07,0.43,0.07,16.7,0.44,0.07,0.17,1.00,11.4,0.00,0.00,0.00,0.11,0.11,0.25,-0.04,-0.04,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,0.00,0.07,0.07,100.0,0.07,0.07,0.00,0.00,7.8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,0.08,0.84,0.28,33.3,0.84,0.28,0.10,0.30,11.0,0.14,0.00,0.00,0.11,0.11,0.13,-0.03,-0.03,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,0.06,0.79,0.14,17.9,0.79,0.14,0.07,0.40,8.8,0.00,0.00,0.00,0.06,0.06,0.08,-0.01,-0.01,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,0.09,0.43,0.09,20.0,0.44,0.09,0.20,1.00,11.1,0.00,0.00,0.00,0.02,0.02,0.04,0.07,0.07,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,0.06,0.43,0.06,14.3,0.44,0.06,0.14,1.00,6.2,0.00,0.00,0.00,0.05,0.05,0.11,0.01,0.01,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,0.16,2.13,0.74,34.6,2.13,0.74,0.08,0.22,24.2,0.57,0.00,0.00,0.16,0.16,0.07,0.01,0.01,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,0.03,0.64,0.27,41.7,0.64,0.27,0.04,0.10,7.7,0.00,0.00,0.00,0.07,0.07,0.11,-0.04,-0.04,Matches
133,£ukasz Fabiañski\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,0.09,0.52,0.17,33.3,0.52,0.17,0.17,0.50,26.7,0.09,0.00,0.00,0.02,0.02,0.03,0.07,0.07,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,0.00,0.20,0.04,20.0,0.20,0.04,0.00,0.00,26.7,0.00,0.00,0.00,0.00,0.00,0.02,-0.00,-0.00,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,0.61,3.03,1.06,35.0,3.04,1.06,0.10,0.29,23.0,0.53,0.30,0.30,0.44,0.21,0.07,0.17,0.09,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,0.00,2.50,0.00,0.0,2.65,0.00,0.00,,20.4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,0.07,0.55,0.21,37.5,0.55,0.21,0.13,0.33,10.7,0.00,0.00,0.00,0.06,0.06,0.11,0.01,0.01,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,0.00,0.64,0.08,11.8,0.64,0.08,0.00,0.00,13.2,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,0.27,3.01,1.11,37.0,3.01,1.11,0.09,0.24,13.3,0.00,0.00,0.00,0.41,0.41,0.13,-0.14,-0.14,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,0.18,1.14,0.43,37.5,1.14,0.43,0.16,0.42,19.3,0.00,0.00,0.00,0.13,0.13,0.11,0.05,0.05,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,0.50,3.40,1.40,41.2,3.40,1.40,0.15,0.36,16.0,0.00,0.00,0.00,0.43,0.43,0.13,0.07,0.07,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,0.08,1.54,0.50,32.4,1.53,0.50,0.05,0.17,16.8,0.00,0.00,0.00,0.12,0.12,0.08,-0.04,-0.04,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,0.00,0.03,0.03,100.0,0.03,0.03,0.00,0.00,9.0,0.00,0.00,0.00,0.00,0.00,0.09,-0.00,-0.00,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,0.00,0.67,0.00,0.0,0.66,0.00,0.00,,10.1,0.00,0.00,0.00,0.07,0.07,0.06,-0.07,-0.07,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,12.4,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,0.04,1.17,0.52,44.4,1.18,0.52,0.04,0.08,17.3,0.09,0.00,0.00,0.14,0.14,0.12,-0.10,-0.10,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,0.00,1.67,0.42,25.0,1.66,0.42,0.00,0.00,22.9,0.13,0.00,0.00,0.08,0.08,0.05,-0.08,-0.08,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,0.00,0.12,0.00,0.0,0.12,0.00,0.00,,21.7,0.00,0.00,0.00,0.00,0.00,0.05,-0.00,-0.00,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,0.00,0.73,0.00,0.0,0.74,0.00,0.00,,29.4,0.00,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,0.00,0.58,0.12,20.0,0.58,0.12,0.00,0.00,26.1,0.23,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,0.00,0.23,0.11,50.0,0.23,0.11,0.00,0.00,6.5,0.00,0.00,0.00,0.06,0.06,0.26,-0.06,-0.06,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,0.43,2.45,1.06,43.5,2.44,1.06,0.17,0.40,11.7,0.11,0.00,0.00,0.47,0.47,0.19,-0.04,-0.04,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,0.18,2.19,0.83,38.0,2.19,0.83,0.06,0.16,17.9,0.22,0.04,0.04,0.26,0.23,0.10,-0.09,-0.10,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,0.00,1.43,0.00,0.0,1.40,0.00,0.00,,16.0,0.00,0.00,0.00,0.07,0.07,0.03,-0.07,-0.07,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,0.00,0.45,0.00,0.0,0.46,0.00,0.00,,24.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,0.73,3.55,1.73,48.7,3.53,1.72,0.21,0.42,10.9,0.09,0.00,0.00,0.61,0.61,0.17,0.12,0.12,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,0.00,0.51,0.17,33.3,0.51,0.17,0.00,0.00,17.0,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,0.00,0.31,0.00,0.0,0.31,0.00,0.00,,22.7,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,0.00,0.04,0.00,0.0,0.04,0.00,0.00,,30.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,0.00,1.22,0.20,16.7,1.23,0.20,0.00,0.00,19.1,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,0.21,0.86,0.43,50.0,0.85,0.43,0.25,0.50,10.9,0.00,0.00,0.00,0.15,0.15,0.18,0.06,0.06,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,0.24,2.26,0.71,31.6,2.26,0.72,0.11,0.33,11.8,0.00,0.00,0.00,0.33,0.33,0.15,-0.10,-0.10,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,0.29,3.04,0.87,28.6,3.04,0.87,0.10,0.33,19.3,0.43,0.00,0.14,0.36,0.25,0.08,-0.07,0.04,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,0.22,2.01,0.61,30.6,2.00,0.61,0.11,0.36,17.9,0.03,0.00,0.03,0.18,0.16,0.08,0.04,0.06,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,0.68,2.59,1.36,52.6,2.59,1.36,0.26,0.50,16.4,0.00,0.00,0.00,0.24,0.24,0.10,0.44,0.44,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,0.00,1.86,0.57,30.8,1.86,0.57,0.00,0.00,18.7,0.14,0.00,0.00,0.14,0.14,0.08,-0.14,-0.14,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,0.10,1.45,0.45,31.0,1.45,0.45,0.07,0.22,22.1,0.20,0.00,0.00,0.10,0.10,0.07,0.01,0.01,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,0.00,0.57,0.26,45.5,0.57,0.26,0.00,0.00,21.7,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,0.00,0.35,0.13,37.5,0.35,0.13,0.00,0.00,22.1,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
182,?lkay Gündo?an\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,0.09,1.38,0.27,19.4,1.38,0.27,0.03,0.17,19.9,0.09,0.04,0.09,0.20,0.13,0.09,-0.11,-0.08,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
184,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,25,1994,25.2,0.28,2.18,1.07,49.1,2.18,1.07,0.13,0.26,10.4,0.00,0.00,0.00,0.31,0.31,0.15,-0.03,-0.03,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,0.00,0.50,0.14,28.6,0.50,0.14,0.00,0.00,9.3,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,0.06,1.16,0.17,15.0,1.17,0.17,0.05,0.33,7.5,0.00,0.00,0.00,0.12,0.12,0.11,-0.06,-0.06,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,0.04,0.69,0.12,17.6,0.69,0.12,0.06,0.33,19.7,0.00,0.00,0.00,0.05,0.05,0.07,-0.01,-0.01,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,0.00,0.03,0.00,0.0,0.03,0.00,0.00,,7.3,0.00,0.00,0.00,0.00,0.00,0.07,-0.00,-0.00,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,0.16,0.80,0.32,40.0,0.80,0.32,0.20,0.50,18.5,0.00,0.00,0.00,0.06,0.06,0.07,0.10,0.10,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,0.09,1.02,0.28,27.3,1.03,0.28,0.09,0.33,18.0,0.05,0.00,0.00,0.07,0.07,0.07,0.02,0.02,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,0.83,2.50,1.67,66.7,2.52,1.68,0.33,0.50,16.4,0.83,0.00,0.00,0.67,0.67,0.27,0.17,0.17,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,0.06,1.95,0.58,30.0,1.95,0.59,0.03,0.11,17.5,0.00,0.00,0.00,0.16,0.16,0.08,-0.10,-0.10,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,0.40,2.95,1.42,48.1,2.94,1.42,0.14,0.28,16.5,0.04,0.00,0.04,0.32,0.29,0.10,0.08,0.11,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,0.00,30.0,10.0,33.3,24.55,8.18,0.00,0.00,13.9,0.00,0.00,0.00,1.00,1.00,0.04,-1.00,-1.00,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,0.00,0.15,0.00,0.0,0.15,0.00,0.00,,5.8,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,0.00,0.53,0.26,50.0,0.53,0.26,0.00,0.00,18.8,0.09,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,0.00,0.53,0.22,41.7,0.53,0.22,0.00,0.00,12.8,0.00,0.00,0.00,0.10,0.10,0.18,-0.10,-0.10,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,0.00,2.50,2.50,100.0,2.73,2.73,0.00,0.00,24.0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,0.18,1.71,0.59,34.5,1.70,0.59,0.10,0.30,20.5,0.24,0.00,0.00,0.09,0.09,0.06,0.08,0.08,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,0.10,2.29,0.42,18.2,2.29,0.42,0.05,0.25,17.4,0.00,0.00,0.00,0.18,0.18,0.08,-0.07,-0.07,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,0.04,1.08,0.12,11.1,1.08,0.12,0.04,0.33,18.1,0.00,0.00,0.00,0.10,0.10,0.09,-0.06,-0.06,Matches
204,Pierre H?jbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,0.00,1.54,0.33,21.3,1.54,0.33,0.00,0.00,21.9,0.00,0.00,0.00,0.09,0.09,0.06,-0.09,-0.09,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,0.00,2.40,0.80,33.3,2.37,0.79,0.00,0.00,16.6,0.00,0.00,0.00,0.40,0.40,0.17,-0.40,-0.40,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,0.00,6.36,2.73,42.9,6.24,2.67,0.00,0.00,11.2,0.00,0.00,0.00,1.36,1.36,0.22,-1.36,-1.36,Matches
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,0.47,3.18,1.68,52.9,3.19,1.69,0.15,0.28,15.1,0.00,0.00,0.00,0.45,0.45,0.14,0.02,0.02,Matches
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,31.2,0.71,2.88,1.12,38.9,2.89,1.12,0.23,0.60,13.3,0.00,0.03,0.06,0.54,0.49,0.17,0.17,0.19,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,0.06,1.30,0.51,39.1,1.30,0.51,0.04,0.11,17.0,0.00,0.00,0.00,0.14,0.14,0.10,-0.08,-0.08,Matches
211,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
212,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.5,0.57,3.14,0.57,18.2,3.18,0.58,0.18,1.00,19.4,0.00,0.00,0.00,0.14,0.14,0.05,0.43,0.43,Matches
213,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,0.12,1.65,0.75,45.2,1.65,0.75,0.07,0.16,16.8,0.00,0.00,0.00,0.14,0.14,0.09,-0.02,-0.02,Matches
214,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,16.8,0.00,1.07,0.18,16.7,1.07,0.18,0.00,0.00,20.2,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
216,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,0.00,0.60,0.00,0.0,0.59,0.00,0.00,,17.7,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
217,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,22.6,0.62,4.51,1.90,42.2,4.52,1.91,0.14,0.33,10.7,0.00,0.00,0.04,0.82,0.78,0.18,-0.20,-0.16,Matches
218,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,36.0,0.47,3.17,1.08,34.2,3.17,1.08,0.11,0.33,14.7,0.00,0.11,0.11,0.41,0.32,0.10,0.06,0.04,Matches
219,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,0.07,1.74,0.50,28.8,1.74,0.50,0.04,0.13,13.8,0.00,0.00,0.00,0.16,0.16,0.09,-0.09,-0.09,Matches
220,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,3.0,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,28.3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
221,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.4,0.71,4.29,1.43,33.3,4.29,1.43,0.17,0.50,16.7,0.00,0.00,0.00,0.64,0.64,0.15,0.07,0.07,Matches
222,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0.00,1.33,0.67,50.0,1.33,0.67,0.00,0.00,10.0,0.00,0.00,0.00,0.13,0.13,0.09,-0.13,-0.13,Matches
223,Bruno Jord?o\Bruno-Jordao,pt POR,FW,Wolves,20,1998,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26.4,0.15,0.38,0.04,10.0,0.38,0.04,0.10,1.00,20.5,0.00,0.11,0.11,0.13,0.04,0.11,0.02,-0.00,Matches
225,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,0.00,1.62,0.27,16.7,1.61,0.27,0.00,0.00,19.5,0.00,0.00,0.00,0.05,0.05,0.04,-0.05,-0.05,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25.4,0.28,2.72,1.02,37.7,2.72,1.02,0.10,0.27,13.7,0.00,0.00,0.00,0.38,0.38,0.14,-0.10,-0.10,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,11.2,0.00,0.63,0.00,0.0,0.62,0.00,0.00,,19.8,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
228,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,25.0,0.00,0.32,0.04,12.5,0.32,0.04,0.00,0.00,9.4,0.00,0.00,0.00,0.04,0.04,0.13,-0.04,-0.04,Matches
229,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,28.7,0.63,2.72,1.18,43.6,2.71,1.18,0.21,0.47,18.8,0.24,0.07,0.07,0.37,0.31,0.12,0.26,0.24,Matches
230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,0.16,0.94,0.31,33.3,0.94,0.31,0.17,0.50,19.8,0.00,0.00,0.00,0.08,0.08,0.09,0.07,0.07,Matches
231,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9.5,0.21,3.16,1.37,43.3,3.17,1.37,0.07,0.15,15.6,0.00,0.00,0.00,0.43,0.43,0.14,-0.22,-0.22,Matches
232,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,28.4,0.07,0.46,0.14,30.8,0.46,0.14,0.15,0.50,6.9,0.00,0.00,0.00,0.06,0.06,0.13,0.01,0.01,Matches
233,Naby Ke?ta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9.1,0.22,1.32,0.77,58.3,1.33,0.77,0.17,0.29,18.4,0.00,0.00,0.00,0.16,0.16,0.13,0.05,0.05,Matches
234,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,0.00,0.14,0.00,0.0,0.14,0.00,0.00,,20.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
235,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,0.00,0.17,0.00,0.0,0.17,0.00,0.00,,19.8,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
236,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
237,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,22.3,0.27,1.03,0.40,39.1,1.03,0.40,0.13,0.33,11.8,0.00,0.13,0.13,0.30,0.19,0.19,-0.03,-0.06,Matches
