Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,0.03,0.62,0.13,21.1,0.62,0.13,0.05,0.25,19.7,0.03,0.00,0.00,0.06,0.06,0.09,-0.02,-0.02,Matches
53,Muhamed Bešiæ\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,0.00,1.43,0.71,50.0,1.44,0.72,0.00,0.00,21.5,0.00,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,0.04,1.21,0.28,23.5,1.21,0.28,0.03,0.13,19.0,0.04,0.00,0.00,0.09,0.09,0.07,-0.05,-0.05,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,0.07,1.14,0.43,37.5,1.14,0.43,0.06,0.17,28.0,0.00,0.00,0.00,0.03,0.03,0.03,0.04,0.04,Matches
56,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,28,1991,22.0,0.00,0.18,0.14,75.0,0.18,0.14,0.00,0.00,10.3,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,0.00,2.47,0.82,33.3,2.47,0.82,0.00,0.00,20.0,0.00,0.00,0.00,0.12,0.12,0.05,-0.12,-0.12,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,0.10,2.35,0.69,29.2,2.36,0.69,0.04,0.14,17.9,0.00,0.00,0.00,0.17,0.17,0.07,-0.07,-0.07,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,0.20,2.40,0.20,8.3,2.38,0.20,0.08,1.00,15.2,0.40,0.00,0.00,0.24,0.24,0.10,-0.04,-0.04,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,0.18,1.07,0.36,33.3,1.07,0.36,0.17,0.50,21.7,0.18,0.00,0.00,0.14,0.14,0.13,0.04,0.04,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,0.00,0.56,0.00,0.0,0.56,0.00,0.00,,15.5,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,0.04,1.46,0.40,27.5,1.46,0.40,0.03,0.09,22.1,0.36,0.00,0.00,0.08,0.08,0.05,-0.04,-0.04,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,0.00,0.41,0.00,0.0,0.41,0.00,0.00,,11.6,0.00,0.00,0.00,0.04,0.04,0.10,-0.04,-0.04,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,0.00,1.11,0.14,12.5,1.11,0.14,0.00,0.00,11.3,0.00,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,0.00,0.83,0.21,25.0,0.83,0.21,0.00,0.00,11.6,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
