Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,40.8,32.9,7.97,0.18,0.03,7.13,0.66,2.53,0.03,0.03,0.00,0.00,20.2,9.79,10.9,1.34,29.2,1.82,7.76,0.18,30.9,0.11,0.84,0.45,2.32,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,42.7,31.5,11.2,0.76,0.10,4.48,1.10,0.95,0.00,0.00,0.00,0.00,16.0,8.67,18.1,3.38,25.2,2.86,10.4,0.05,28.5,0.29,1.43,0.29,1.38,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,50.1,49.3,0.81,0.41,0.16,12.8,2.20,0.73,0.24,0.08,0.08,0.00,38.8,6.18,5.12,6.67,41.7,0.81,0.16,0.16,43.9,0.16,0.49,0.81,0.65,Matches
36,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,29,1989,15.0,16.9,16.3,0.60,0.00,0.07,6.47,0.07,0.07,0.00,0.00,0.00,0.00,8.20,3.93,4.73,3.07,9.47,1.47,0.07,0.53,10.3,0.07,0.67,0.60,0.87,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,31.6,31.4,0.17,0.09,0.13,7.84,0.35,1.60,0.00,0.00,0.00,0.00,21.9,5.28,4.42,4.63,24.7,0.95,0.09,0.39,24.2,0.17,0.43,0.91,1.47,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,40.6,35.8,4.75,0.56,0.00,6.86,0.97,1.06,0.00,0.00,0.00,0.00,21.5,7.00,12.1,3.25,27.9,3.86,4.19,0.14,30.1,0.14,1.33,0.36,0.78,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,25.0,25.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,5.00,10.0,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,28.1,25.9,2.22,0.00,0.00,5.93,0.74,0.37,0.00,0.00,0.00,0.00,19.6,5.19,3.33,8.52,17.8,0.00,0.00,0.37,22.6,0.00,0.00,1.11,1.11,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,42.2,40.3,1.85,0.82,0.03,5.21,0.74,0.00,0.00,0.00,0.00,0.00,26.6,4.50,11.0,6.59,28.7,4.12,1.00,0.12,33.6,0.09,0.76,0.35,0.47,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,53.2,43.2,10.0,1.24,0.16,7.60,0.39,1.71,0.00,0.00,0.00,0.00,32.6,12.3,8.29,3.88,37.8,2.02,8.76,0.00,43.3,0.16,0.62,0.85,2.25,Matches
