Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,42.8,37.2,5.65,2.06,0.14,9.61,2.31,1.87,2.17,1.34,0.17,0.25,29.8,5.96,7.05,2.87,38.0,0.56,0.84,0.19,33.9,0.14,0.67,0.75,1.39,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,33.2,33.0,0.20,0.00,0.00,6.87,0.82,0.88,0.14,0.00,0.07,0.00,26.6,3.47,3.13,26.0,6.33,0.61,0.00,0.00,28.3,0.07,0.41,0.48,0.75,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,32.4,31.6,0.86,0.14,0.00,9.00,0.71,0.86,0.43,0.29,0.14,0.00,22.9,5.86,3.71,4.29,26.3,1.43,0.29,0.00,25.9,0.14,0.57,0.71,2.00,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,51.4,44.4,7.00,2.40,0.15,9.75,3.30,3.25,4.00,1.10,1.55,0.95,30.3,7.60,13.6,8.95,40.1,1.30,0.15,0.20,38.1,0.45,0.80,0.80,1.85,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,30.1,19.9,10.1,2.31,0.00,3.26,0.80,0.00,0.00,0.00,0.00,0.00,8.74,1.94,19.4,2.23,20.9,0.03,0.03,4.69,16.9,0.17,1.40,0.00,0.00,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,59.0,57.1,1.86,1.34,0.15,11.5,1.49,0.31,0.05,0.00,0.00,0.00,47.9,5.77,5.31,3.20,53.2,1.75,0.41,0.26,52.5,0.15,0.31,0.93,1.65,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,45.2,35.6,9.65,0.57,0.04,6.12,1.15,2.82,0.04,0.00,0.00,0.00,19.3,9.91,15.9,4.14,27.7,3.00,9.03,0.31,30.3,0.35,1.54,0.79,2.25,Matches
182,?lkay Gündo?an\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,87.3,84.6,2.72,1.25,0.49,15.5,1.96,0.36,1.03,0.45,0.18,0.09,67.6,11.2,8.48,24.1,60.4,1.88,0.22,0.13,79.4,0.13,0.58,1.07,1.07,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,25.6,14.4,11.2,3.30,0.00,1.90,0.90,0.00,0.00,0.00,0.00,0.00,5.80,1.10,18.7,0.80,20.2,0.00,0.00,2.40,11.1,0.00,1.00,0.20,0.00,Matches
184,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,25,1994,25.2,30.4,29.2,1.23,0.00,0.08,12.8,0.16,0.32,0.00,0.00,0.00,0.00,13.9,7.90,8.61,3.25,17.4,2.30,0.00,0.91,20.7,0.12,0.32,0.83,1.11,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,45.6,43.3,2.36,2.36,0.00,6.93,1.50,0.07,0.00,0.00,0.00,0.00,33.1,4.57,7.93,4.71,37.6,2.29,0.00,0.07,38.4,0.14,1.00,0.29,0.43,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,45.9,43.2,2.67,1.45,0.00,8.20,1.51,0.00,0.00,0.00,0.00,0.00,24.3,7.27,14.3,33.1,4.48,3.55,1.22,0.06,34.4,0.23,1.16,0.70,0.87,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,33.7,31.7,1.98,0.61,0.12,8.06,0.49,1.09,0.00,0.00,0.00,0.00,22.2,4.70,6.84,4.21,25.2,2.15,0.49,0.20,25.5,0.08,0.61,0.57,1.46,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,30.9,17.2,13.7,3.82,0.00,3.12,0.85,0.00,0.00,0.00,0.00,0.00,10.6,1.11,19.2,1.41,23.2,0.05,0.00,4.77,17.6,0.10,1.11,0.05,0.00,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,28.8,18.3,10.5,3.31,0.00,2.06,0.72,0.00,0.00,0.00,0.00,0.00,3.64,1.61,23.5,1.69,20.5,0.00,0.00,2.78,11.8,0.08,1.58,0.08,0.17,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,75.5,73.7,1.81,0.64,0.56,11.0,2.93,1.93,0.04,0.00,0.00,0.00,49.2,10.8,15.5,8.39,62.9,2.73,0.52,0.16,63.5,0.16,0.80,0.60,1.61,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,26.7,25.5,1.26,0.14,0.00,6.28,0.56,0.47,0.28,0.28,0.00,0.00,17.2,3.67,5.86,2.79,21.4,1.35,0.33,0.28,19.5,0.23,0.70,0.51,1.86,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,34.3,17.0,17.3,4.33,0.00,1.33,0.67,0.00,0.00,0.00,0.00,0.00,4.33,0.33,29.7,3.00,27.7,0.00,0.00,2.00,14.7,0.33,1.33,0.00,0.00,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,18.3,15.0,3.33,0.00,0.00,2.50,0.00,0.83,0.00,0.00,0.00,0.00,14.2,2.50,1.67,5.00,11.7,0.83,0.00,0.83,15.8,0.00,0.00,0.00,0.83,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,21.8,21.2,0.58,0.00,0.06,5.58,0.13,1.69,0.06,0.00,0.00,0.00,16.4,3.38,2.01,3.83,16.4,0.71,0.45,0.13,16.1,0.00,0.06,0.39,1.17,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,32.1,29.2,2.91,0.44,0.22,7.31,1.20,1.05,1.71,0.73,0.51,0.25,22.9,5.20,4.00,4.29,26.0,0.84,0.55,0.15,25.6,0.04,0.36,0.55,1.56,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,80.0,80.0,0.00,0.00,0.00,40.0,0.00,0.00,0.00,0.00,0.00,0.00,40.0,10.0,30.0,0.00,50.0,0.00,0.00,10.0,50.0,0.00,0.00,0.00,0.00,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,52.0,50.6,1.38,1.23,0.15,6.00,1.85,0.15,0.00,0.00,0.00,0.00,41.4,3.08,7.54,6.31,42.3,2.15,0.15,0.00,44.9,0.31,1.54,0.46,0.31,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,53.3,37.0,16.3,1.49,0.00,7.46,2.72,2.81,3.16,1.05,1.49,0.44,22.1,11.7,19.6,32.7,4.21,2.81,11.7,0.00,37.8,0.09,0.96,0.88,0.96,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,43.5,41.8,1.62,1.10,0.04,5.57,1.93,0.09,0.00,0.00,0.00,0.00,31.2,4.34,7.89,6.54,33.2,2.32,0.48,0.00,37.5,0.04,1.01,0.35,0.48,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,35.0,32.5,2.50,0.00,0.00,10.0,0.00,5.00,0.00,0.00,0.00,0.00,22.5,10.0,2.50,0.00,32.5,0.00,2.50,0.00,27.5,0.00,0.00,0.00,2.50,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,42.4,33.2,9.24,4.24,0.12,5.24,2.12,2.65,3.24,1.29,1.12,0.00,26.8,5.94,9.71,36.8,3.24,1.06,0.65,0.12,31.9,0.12,0.88,0.71,1.35,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,49.6,46.8,2.81,0.21,0.10,14.5,3.13,5.10,1.88,0.52,0.73,0.00,31.5,8.02,10.1,5.94,40.8,1.67,0.73,0.10,40.0,0.21,1.25,0.73,1.56,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,36.8,34.2,2.56,1.04,0.08,6.84,1.00,1.28,1.44,0.80,0.20,0.28,21.7,7.56,7.52,28.1,5.92,1.68,0.08,0.24,27.1,0.24,0.72,0.96,1.20,Matches
204,Pierre H?jbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,59.2,57.0,2.12,1.34,0.07,12.2,1.67,0.82,0.03,0.00,0.00,0.00,36.4,10.1,12.6,10.1,42.4,4.31,0.62,0.52,46.2,0.10,1.96,0.59,1.14,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,36.7,30.0,6.67,1.67,0.00,6.67,1.67,1.67,1.67,0.00,1.67,0.00,21.7,5.00,10.0,8.33,21.7,3.33,3.33,0.00,28.3,0.00,0.00,0.00,3.33,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,19.2,17.2,2.00,0.00,0.00,6.40,0.00,0.00,0.00,0.00,0.00,0.00,11.2,6.40,1.60,2.40,13.6,1.20,0.40,0.80,14.8,0.00,0.40,0.40,0.80,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,20.9,20.9,0.00,0.00,0.00,3.64,0.00,0.00,0.00,0.00,0.00,0.00,16.4,2.73,1.82,2.73,17.3,0.91,0.00,0.00,19.1,0.00,0.00,0.00,0.00,Matches
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,25.0,24.5,0.56,0.00,0.65,7.85,0.37,0.37,0.00,0.00,0.00,0.00,19.5,3.74,1.78,21.6,2.15,0.84,0.00,0.28,20.3,0.00,0.28,0.56,1.50,Matches
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,31.2,21.7,21.3,0.48,0.00,0.10,5.48,0.54,0.99,0.00,0.00,0.00,0.00,11.3,4.87,5.61,2.79,16.3,1.67,0.03,0.22,14.0,0.22,0.61,0.48,1.09,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,34.7,34.1,0.62,0.17,0.28,6.33,1.47,1.92,0.06,0.00,0.00,0.00,23.4,5.88,5.42,3.73,29.8,0.51,0.17,0.17,26.1,0.17,0.68,0.79,1.92,Matches
211,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,27.0,25.9,1.11,0.00,0.00,4.07,1.11,0.37,0.00,0.00,0.00,0.00,17.4,2.22,7.41,4.07,20.0,0.74,1.11,0.00,21.9,0.00,1.48,0.00,0.37,Matches
212,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.5,40.0,38.9,1.14,0.00,0.00,6.00,0.57,5.71,0.29,0.00,0.00,0.00,24.9,8.86,6.29,4.57,33.1,1.14,0.86,0.29,24.0,0.00,1.43,1.14,2.86,Matches
213,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,31.6,31.1,0.55,0.16,0.12,7.20,0.83,2.83,0.12,0.04,0.04,0.00,23.1,4.65,3.82,3.90,26.8,0.55,0.20,0.04,23.1,0.12,0.71,0.59,2.48,Matches
214,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,60.0,60.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,50.0,10.0,0.00,10.0,50.0,0.00,0.00,0.00,60.0,0.00,0.00,0.00,0.00,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,16.8,75.5,64.1,11.4,1.55,0.18,12.1,1.73,4.05,0.60,0.24,0.36,0.00,47.8,13.5,14.2,6.19,56.6,1.85,9.23,0.24,62.8,0.18,1.43,0.60,2.20,Matches
216,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,50.9,42.8,8.06,0.15,0.00,9.55,1.34,2.99,0.00,0.00,0.00,0.00,25.8,13.4,11.6,6.42,35.4,1.19,7.91,0.00,38.4,0.00,1.04,0.60,2.54,Matches
217,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,22.6,26.9,26.1,0.84,0.00,0.09,6.42,0.35,0.22,0.04,0.00,0.00,0.00,20.7,4.07,2.17,3.10,21.5,0.75,0.18,0.49,23.5,0.04,0.27,0.58,0.80,Matches
218,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,36.0,28.0,26.9,1.08,0.08,0.19,8.33,1.03,0.83,0.03,0.03,0.00,0.00,14.3,8.25,5.50,1.69,22.2,1.28,0.33,1.25,20.3,0.08,0.56,0.75,1.39,Matches
219,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,26.9,25.5,1.34,0.03,0.13,10.6,0.37,0.30,0.00,0.00,0.00,0.00,16.4,5.84,4.66,4.23,16.3,2.08,0.17,0.54,21.5,0.13,0.50,0.37,0.70,Matches
220,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,3.0,53.7,44.0,9.67,0.00,0.00,5.33,2.67,2.00,0.00,0.00,0.00,0.00,24.0,11.3,18.3,6.33,34.0,2.67,9.67,0.00,37.0,0.33,1.67,1.67,2.67,Matches
221,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.4,91.4,91.4,0.00,0.00,0.00,16.4,2.14,0.00,0.00,0.00,0.00,0.00,73.6,9.29,8.57,11.4,75.0,3.57,0.00,0.00,79.3,0.00,0.71,1.43,1.43,Matches
222,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,59.3,57.3,2.00,1.33,0.00,14.7,2.00,0.67,0.00,0.00,0.00,0.00,44.7,9.33,5.33,4.67,48.7,2.00,0.67,1.33,52.7,0.00,1.33,0.67,0.67,Matches
223,Bruno Jord?o\Bruno-Jordao,pt POR,FW,Wolves,20,1998,0.1,50.0,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,10.0,10.0,10.0,40.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26.4,84.1,81.9,2.20,2.01,0.19,16.1,2.54,0.11,0.00,0.00,0.00,0.00,58.4,12.5,13.2,4.81,76.8,1.74,0.19,0.19,74.1,0.23,0.57,0.80,0.72,Matches
225,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,26.5,25.1,1.35,0.54,0.81,6.49,0.27,0.27,0.27,0.27,0.00,0.00,17.0,3.78,5.68,22.4,2.70,0.81,0.54,0.00,19.7,0.27,0.27,0.54,0.54,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25.4,33.9,32.4,1.54,0.00,0.00,8.11,0.87,1.42,0.04,0.00,0.00,0.00,23.0,6.46,4.45,10.3,21.6,0.87,0.20,0.28,26.8,0.16,0.55,0.59,1.85,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,11.2,71.5,61.3,10.2,1.07,0.09,9.46,0.89,2.32,0.00,0.00,0.00,0.00,44.6,15.4,11.4,10.8,47.3,3.30,9.11,0.18,58.0,0.00,1.34,0.71,2.95,Matches
228,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,25.0,25.4,24.9,0.52,0.44,0.00,3.84,1.00,0.00,0.00,0.00,0.00,0.00,13.6,3.96,7.84,1.88,20.4,2.08,0.08,0.08,19.4,0.04,0.52,0.32,0.28,Matches
229,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,28.7,20.6,19.5,1.08,0.17,0.21,6.41,0.59,0.77,0.00,0.00,0.00,0.00,11.0,5.71,3.94,2.20,15.1,1.11,0.21,0.31,13.7,0.07,0.49,0.66,1.15,Matches
230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,59.4,58.9,0.47,0.36,0.00,12.6,0.94,1.15,0.00,0.00,0.00,0.00,42.6,9.01,7.81,7.76,47.9,2.50,0.05,0.36,50.8,0.26,0.68,0.94,1.77,Matches
231,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9.5,14.9,14.4,0.53,0.11,0.21,3.79,0.21,0.84,0.00,0.00,0.00,0.00,8.63,4.11,2.21,2.32,10.7,0.74,0.11,0.74,10.9,0.00,0.21,0.53,1.16,Matches
232,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,28.4,48.6,47.0,1.51,1.37,0.07,6.87,1.30,0.11,0.00,0.00,0.00,0.00,34.6,5.60,8.38,7.57,35.3,2.99,0.14,0.18,41.1,0.18,1.23,0.35,0.49,Matches
233,Naby Ke?ta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9.1,75.2,74.3,0.88,0.22,0.55,12.5,0.99,0.77,0.22,0.00,0.00,0.00,56.5,12.3,6.37,9.45,62.3,1.98,0.33,0.22,66.8,0.11,0.88,1.10,1.65,Matches
234,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,32.5,27.3,5.21,0.85,0.00,4.08,0.00,1.41,0.00,0.00,0.00,0.00,18.2,5.07,9.30,22.7,1.97,2.68,4.37,0.00,23.7,0.14,0.85,0.28,0.99,Matches
235,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,38.9,31.5,7.44,0.76,0.00,7.21,0.52,0.76,0.00,0.00,0.00,0.00,19.6,8.31,11.0,3.78,26.0,1.57,6.69,0.06,28.7,0.17,0.93,1.16,1.10,Matches
236,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,42.9,42.9,0.00,0.00,0.00,6.67,0.48,0.00,0.00,0.00,0.00,0.00,31.9,4.29,6.67,36.2,2.86,1.90,0.00,0.48,34.3,0.95,0.48,0.48,0.48,Matches
237,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,22.3,22.3,21.7,0.58,0.04,0.18,6.46,0.22,1.12,0.04,0.00,0.00,0.00,14.5,4.62,3.18,2.11,17.8,0.76,0.09,0.27,16.2,0.09,0.40,0.63,1.39,Matches
238,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,59.8,57.7,2.15,1.69,0.00,5.08,1.54,0.00,0.00,0.00,0.00,0.00,44.3,6.00,9.54,17.5,35.7,4.31,0.46,0.62,50.9,0.15,0.62,0.77,0.62,Matches
239,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,23.1,18.5,4.62,0.00,0.00,5.38,0.00,0.00,0.00,0.00,0.00,0.00,16.2,3.08,3.85,1.54,18.5,0.77,0.00,0.00,14.6,0.00,0.77,0.77,0.77,Matches
240,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.9,54.6,48.5,6.03,0.16,0.00,8.31,0.53,1.53,0.00,0.00,0.00,0.00,37.2,8.15,9.21,39.1,5.50,3.12,5.87,0.16,46.0,0.21,0.90,0.74,1.32,Matches
241,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1997,22.7,37.6,33.0,4.63,0.79,0.00,5.15,0.79,0.35,0.00,0.00,0.00,0.00,21.9,6.08,9.56,3.66,26.4,1.94,3.83,0.22,29.7,0.00,0.88,0.44,0.66,Matches
242,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,28.1,30.6,30.0,0.57,0.36,0.00,7.26,0.21,0.32,0.00,0.00,0.00,0.00,19.7,5.37,5.55,2.56,22.7,2.60,0.18,0.50,23.2,0.04,0.68,0.53,1.10,Matches
243,Mateo Kovaèiæ\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,23.0,80.3,78.2,2.09,1.74,0.22,14.7,3.52,0.61,0.00,0.00,0.00,0.00,62.7,10.0,7.61,3.48,74.9,1.09,0.35,0.17,72.4,0.13,0.61,1.04,0.91,Matches
244,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,38.3,31.7,6.64,0.62,0.00,4.51,0.71,0.97,0.00,0.00,0.00,0.00,21.5,6.46,10.4,1.86,28.0,1.77,6.02,0.18,28.0,0.27,0.44,0.97,1.86,Matches
245,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,43.1,30.9,12.2,2.92,0.00,6.25,1.06,0.00,0.00,0.00,0.00,0.00,19.4,3.53,20.2,27.8,8.36,0.03,0.03,4.94,29.1,0.08,1.28,0.14,0.11,Matches
246,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,24.0,22.0,1.97,0.05,0.19,6.01,0.43,0.82,0.00,0.00,0.00,0.00,16.2,4.71,3.08,3.51,19.5,0.43,0.00,0.19,18.6,0.00,0.67,0.48,1.15,Matches
247,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,64.3,63.8,0.48,0.24,0.00,11.4,0.95,1.19,0.00,0.00,0.00,0.00,48.6,9.05,6.67,18.3,40.5,3.10,0.24,0.71,54.5,0.48,0.00,0.95,2.14,Matches
248,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,44.1,40.1,4.07,0.67,0.15,10.6,1.78,0.74,2.96,2.07,0.52,0.07,31.9,5.70,6.52,38.4,4.22,0.96,0.07,0.52,34.7,0.15,0.52,1.19,1.70,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,35.0,22.5,12.5,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.5,10.0,12.5,10.0,12.5,0.00,12.5,0.00,30.0,0.00,0.00,0.00,5.00,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,36.2,28.9,7.23,0.62,0.00,4.00,0.15,2.00,0.00,0.00,0.00,0.00,19.2,7.85,9.08,8.00,19.5,1.38,6.62,0.31,26.6,0.00,1.23,0.46,2.31,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,36.8,36.4,0.45,0.00,0.00,6.82,2.73,0.91,0.00,0.00,0.00,0.00,20.9,6.82,9.09,3.18,28.2,4.55,0.00,0.45,27.3,0.00,1.36,0.45,1.36,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,52.2,48.2,3.99,1.18,0.20,10.1,1.90,0.92,2.09,1.11,0.72,0.07,38.1,7.71,6.34,5.69,44.4,1.11,0.13,0.59,44.1,0.20,0.78,0.98,0.85,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,91.3,89.6,1.72,1.15,0.00,10.2,2.87,0.00,0.00,0.00,0.00,0.00,74.8,8.28,8.20,68.8,16.5,3.44,0.57,0.49,85.3,0.00,0.41,0.33,0.82,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,35.1,34.4,0.65,0.65,0.04,6.19,0.95,0.00,0.00,0.00,0.00,0.00,23.3,3.85,7.88,5.06,25.1,3.29,0.00,0.09,28.9,0.17,0.43,0.30,0.39,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,36.6,31.1,5.47,0.75,0.00,5.66,0.94,0.57,2.08,0.19,0.75,0.94,21.3,6.60,8.68,4.15,27.9,1.13,2.64,0.19,29.8,0.19,0.38,0.94,0.57,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,72.8,69.3,3.42,2.63,0.26,12.6,1.97,0.39,0.13,0.13,0.00,0.00,57.1,7.89,7.76,11.6,59.1,0.66,0.53,0.39,62.1,0.66,0.92,0.92,1.71,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,38.2,34.5,3.67,1.22,0.00,8.37,1.63,0.20,0.00,0.00,0.00,0.00,21.6,4.69,11.8,8.16,24.5,1.43,2.45,0.00,27.8,0.00,1.43,0.61,0.41,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,23.8,23.5,0.36,0.00,0.00,5.82,0.91,1.64,0.18,0.18,0.00,0.00,16.5,3.82,3.45,2.00,20.4,0.73,0.18,0.00,16.7,0.00,0.55,0.36,1.82,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,33.7,23.1,10.5,2.01,0.00,4.32,0.75,0.00,0.00,0.00,0.00,0.00,20.8,1.77,11.1,5.20,21.5,0.14,0.00,5.92,25.2,0.17,0.75,0.10,0.03,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,45.9,44.9,0.97,0.80,0.00,9.37,1.30,0.10,0.00,0.00,0.00,0.00,27.2,8.20,10.5,4.77,36.0,3.67,0.17,0.07,36.4,0.13,1.13,0.70,0.80,Matches
261,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,25.6,51.0,41.0,10.0,0.55,0.04,8.36,0.74,1.37,0.00,0.00,0.00,0.00,29.9,12.7,8.40,35.2,5.00,1.02,9.45,0.04,40.5,0.12,0.86,1.17,2.07,Matches
262,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,34.4,58.5,56.8,1.69,1.34,0.06,8.02,0.87,0.03,0.00,0.00,0.00,0.00,45.7,5.78,7.03,7.35,46.7,2.21,0.35,0.41,51.3,0.06,0.96,0.73,0.58,Matches
263,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.4,39.3,37.4,1.92,0.29,0.10,7.79,0.38,0.48,0.19,0.00,0.00,0.00,31.4,5.19,2.69,1.83,35.2,0.87,0.58,0.77,33.8,0.29,0.48,0.77,1.06,Matches
264,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,20.1,28.3,19.0,9.30,1.89,0.00,2.44,0.70,0.00,0.00,0.00,0.00,0.00,11.7,1.89,14.7,16.5,5.62,0.00,0.00,4.08,19.7,0.10,0.45,0.05,0.05,Matches
265,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,16.6,60.5,55.5,5.00,2.23,0.12,10.7,2.71,1.08,2.41,1.08,0.54,0.42,41.2,9.76,9.58,51.0,6.99,1.20,0.36,0.54,50.1,0.24,0.60,0.96,1.27,Matches
266,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,19.0,19.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,11.0,3.00,5.00,2.00,14.0,2.00,0.00,0.00,9.00,1.00,0.00,0.00,3.00,Matches
267,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.3,57.0,56.1,0.87,0.87,0.43,5.22,1.74,0.43,0.00,0.00,0.00,0.00,45.2,6.96,4.78,6.09,47.4,2.61,0.00,0.43,50.4,0.00,1.30,0.87,0.43,Matches
