Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,54.8,2.05,13.9,24.1,20.8,3.13,48.6,1.59,2.46,64.6,1.59,0.10,37.2,244.6,154.4,42.8,35.7,83.4,1.64,1.90,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,59.0,9.03,34.4,27.5,1.07,0.29,57.4,0.49,0.58,83.3,0.49,0.00,35.7,168.1,84.3,37.7,36.7,97.4,0.29,0.19,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,43.9,0.16,1.78,12.8,31.8,9.91,42.2,2.06,3.09,66.7,2.19,0.09,33.4,200.1,121.8,56.7,34.7,61.1,2.66,2.47,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,26.4,0.57,1.43,11.8,14.1,2.76,25.6,0.86,1.43,60.0,0.86,0.00,15.3,87.2,25.6,41.0,19.3,47.2,2.48,1.05,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,50.8,2.31,8.46,37.7,6.15,0.00,50.8,0.77,0.77,100.0,0.77,0.00,23.1,76.2,22.3,28.5,25.4,89.2,0.00,0.77,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,66.3,10.5,36.5,31.4,1.74,0.63,65.0,0.30,0.41,72.7,0.30,0.00,43.6,210.9,95.2,44.8,44.4,99.1,0.22,0.19,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,90.0,0.00,0.00,30.0,70.0,10.0,80.0,0.00,0.00,,0.00,0.00,70.0,540.0,230.0,90.0,80.0,88.9,0.00,0.00,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,41.4,0.62,5.11,16.0,24.9,5.07,41.0,2.36,4.53,52.0,2.49,0.04,34.6,286.4,182.8,46.8,30.8,65.8,2.89,2.62,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,54.6,7.04,30.9,22.8,4.62,0.81,51.2,0.86,1.02,84.2,0.86,0.05,30.6,199.7,128.8,30.3,29.0,95.7,0.32,0.65,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,58.0,3.25,19.8,20.5,22.5,2.50,48.0,1.50,2.25,66.7,1.50,0.25,31.8,260.5,146.0,38.3,30.8,80.4,2.75,1.25,Matches
