Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
365,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,22.3,27.6,34.7,79.7,387.5,96.4,17.2,19.5,88.3,7.58,9.64,78.6,1.48,2.24,66.0,0.18,0.18,0.00,1.30,1.52,1.35,0.36,2.78,Matches
366,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,23.6,36.1,65.2,832.0,571.7,4.00,4.00,100.0,9.13,9.18,99.4,9.95,22.5,44.3,0.00,0.00,-0.00,0.03,1.29,0.11,0.00,0.03,Matches
367,Brandon Pierrick\Brandon-Pierrick,eng ENG,DFFW,Crystal Palace,17,2001,0.2,25.0,45.0,55.6,325.0,30.0,10.0,15.0,66.7,10.0,10.0,100.0,0.00,5.00,0.0,0.00,0.50,-0.50,5.00,0.00,5.00,0.00,5.00,Matches
368,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,20.9,32.9,44.2,74.4,572.2,224.3,16.5,18.6,88.9,12.6,16.3,77.4,3.21,7.37,43.5,0.19,0.13,0.06,0.81,1.82,0.77,0.33,2.54,Matches
369,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,3.2,23.1,32.8,70.5,346.9,72.5,12.5,15.9,78.4,8.13,10.9,74.3,1.25,3.75,33.3,0.00,0.13,-0.13,1.56,0.94,0.94,0.00,2.50,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,65.7,76.6,85.8,1325.2,357.5,27.9,31.2,89.5,26.0,29.3,89.0,10.8,13.7,78.8,0.22,0.20,0.02,2.01,8.81,2.01,0.07,8.13,Matches
371,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,14.1,31.1,45.4,644.6,509.2,0.82,0.84,96.9,4.00,4.18,95.6,9.26,26.0,35.7,0.00,0.02,-0.02,0.11,1.03,0.03,0.00,0.00,Matches
372,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.6,35.4,42.8,82.7,607.5,151.0,16.7,18.8,88.6,14.0,16.7,84.3,3.73,5.16,72.3,0.16,0.06,0.10,0.71,2.62,0.79,0.24,2.62,Matches
373,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,10.0,16.7,60.0,135.0,91.7,6.67,8.33,80.0,3.33,6.67,50.0,0.00,1.67,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,Matches
374,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.4,47.2,56.8,83.1,914.4,262.2,17.6,20.2,86.9,22.5,25.9,87.2,6.40,8.73,73.4,0.06,0.07,-0.00,0.86,5.29,0.83,0.19,5.86,Matches
375,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,32.1,13.1,16.3,80.7,183.3,20.8,8.19,9.25,88.6,3.61,4.52,80.0,0.69,0.97,71.0,0.09,0.10,-0.00,0.87,0.44,0.19,0.06,0.50,Matches
376,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,19.1,28.6,36.6,78.0,440.8,84.8,16.7,19.5,85.5,9.01,11.2,80.4,2.20,3.61,60.9,0.21,0.18,0.03,1.52,1.47,1.47,0.05,3.19,Matches
377,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,22.5,38.8,58.1,352.5,181.3,12.5,15.0,83.3,7.50,15.0,50.0,1.25,7.50,16.7,0.00,0.00,0.00,0.00,1.25,1.25,0.00,2.50,Matches
378,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,45.0,45.0,100.0,675.0,105.0,30.0,30.0,100.0,15.0,15.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,Matches
379,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,17.5,30.4,57.7,590.5,401.3,3.11,3.14,99.1,7.22,7.32,98.5,7.14,19.8,36.0,0.03,0.00,0.02,0.05,0.54,0.00,0.00,0.00,Matches
380,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,11.0,20.0,55.0,622.0,546.5,1.00,1.00,100.0,0.00,0.00,,10.0,19.0,52.6,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,25.8,33.6,76.7,422.7,114.9,14.3,17.0,84.0,8.67,10.8,80.2,2.11,3.67,57.4,0.24,0.16,0.08,1.12,2.07,2.28,0.14,4.46,Matches
382,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,25.4,34.6,73.6,431.6,99.6,13.2,16.0,82.9,8.47,11.2,75.8,2.83,5.24,54.0,0.13,0.10,0.03,1.21,1.47,1.21,0.16,3.13,Matches
383,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,22.7,32.9,68.9,842.3,572.9,2.00,2.00,100.0,8.08,8.17,99.0,12.3,22.4,55.0,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,Matches
384,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38.0,38.8,45.2,86.0,790.1,198.5,14.3,15.8,91.0,17.0,18.5,91.8,6.63,9.18,72.2,0.08,0.04,0.04,0.58,4.16,0.47,0.24,2.95,Matches
385,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,34.1,15.9,24.1,66.0,260.4,64.8,7.83,10.5,74.8,6.19,8.42,73.5,1.29,2.67,48.4,0.09,0.14,-0.05,0.91,0.88,0.79,0.06,1.94,Matches
386,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,25.9,39.1,57.3,68.2,749.1,405.6,15.2,18.0,84.4,17.1,22.9,74.7,5.83,13.2,44.2,0.15,0.11,0.04,1.27,4.05,1.24,0.50,4.98,Matches
387,Ja?ro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,35.4,47.1,75.3,590.6,268.5,17.6,20.0,88.2,13.9,18.9,73.3,2.82,6.35,44.4,0.00,0.05,-0.05,0.24,3.76,0.71,0.12,3.65,Matches
388,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,14.6,32.5,47.3,68.6,618.6,252.5,13.8,16.2,85.2,12.9,16.0,80.7,5.14,12.8,40.1,0.07,0.16,-0.09,2.33,2.40,1.03,0.48,3.22,Matches
